"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"08.04.2022","0,2691","0,2693","0,2705","0,2690","0,05%"
"07.04.2022","0,2690","0,2688","0,2693","0,2688","-0,48%"
"06.04.2022","0,2703","0,2704","0,2706","0,2702","0,00%"
"05.04.2022","0,2703","0,2745","0,2747","0,2700","-1,82%"
"04.04.2022","0,2753","0,2748","0,2763","0,2746","0,33%"
"01.04.2022","0,2744","0,2718","0,2747","0,2716","0,99%"
"31.03.2022","0,2717","0,2686","0,2718","0,2686","1,19%"
"30.03.2022","0,2685","0,2685","0,2686","0,2679","0,11%"
"29.03.2022","0,2682","0,2681","0,2691","0,2681","0,15%"
"28.03.2022","0,2678","0,2677","0,2683","0,2673","0,15%"
"25.03.2022","0,2674","0,2677","0,2685","0,2675","0,00%"
"24.03.2022","0,2674","0,2655","0,2679","0,2654","0,83%"
"23.03.2022","0,2652","0,2646","0,2655","0,2646","0,23%"
"22.03.2022","0,2646","0,2641","0,2657","0,2641","0,27%"
"21.03.2022","0,2639","0,2645","0,2645","0,2634","-0,19%"
"18.03.2022","0,2644","0,2663","0,2663","0,2645","-1,05%"
"17.03.2022","0,2672","0,2688","0,2693","0,2673","-0,52%"
"16.03.2022","0,2686","0,2676","0,2688","0,2675","0,41%"
"15.03.2022","0,2675","0,2679","0,2686","0,2668","-0,48%"
"14.03.2022","0,2688","0,2700","0,2701","0,2689","-0,37%"
"11.03.2022","0,2698","0,2695","0,2704","0,2695","0,19%"
"10.03.2022","0,2693","0,2682","0,2695","0,2679","0,49%"
"09.03.2022","0,2680","0,2675","0,2693","0,2675","0,30%"
"08.03.2022","0,2672","0,2688","0,2691","0,2673","-0,48%"
"07.03.2022","0,2685","0,2661","0,2686","0,2658","0,94%"
"04.03.2022","0,2660","0,2682","0,2682","0,2661","-0,71%"
"03.03.2022","0,2679","0,2668","0,2681","0,2666","0,56%"
"02.03.2022","0,2664","0,2637","0,2668","0,2635","1,33%"
